Food,Carbohydrates,Protein,Fat,Sugar,Sodium,콜레스테롤,포화지방,트랜스지방,1회 제공량,Energy,분류
자장면,133.63 ,19.77 ,20.32 ,7.80 ,2391.58 ,10.76 ,8.52 ,0.17 ,650.00 ,796.5,면 및 만두류
가지볶음,20.07 ,1.71 ,3.66 ,2.32 ,219.18 ,0.00 ,0.03 ,0.00 ,131.50 ,111.2,볶음류
김치볶음,8.99 ,3.11 ,5.41 ,3.39 ,849.94 ,5.63 ,0.75 ,0.03 ,100.00 ,97.04,볶음류
연근조림,18.06 ,0.63 ,0.38 ,7.08 ,200.37 ,0.19 ,0.07 ,0.00 ,30.00 ,78.24 ,조림류
가지나물,2.65 ,0.60 ,1.10 ,0.55 ,152.20 ,0.49 ,0.15 ,0.00 ,50.00 ,23.00 ,나물/숙채류
치킨까스,44.02 ,27.91 ,33.92 ,4.51 ,779.27 ,72.97 ,8.42 ,0.27 ,200.00 ,593.00 ,튀김류
칠리새우,17.31 ,10.78 ,6.91 ,0.00 ,159.36 ,0.00 ,0.00 ,0.00 ,93.70 ,175.99 ,볶음류
황태구이,26.93 ,47.83 ,15.39 ,14.15 ,1135.33 ,211.58 ,2.40 ,0.12 ,200.00 ,437.57 ,구이류
고추잡채,26.17 ,10.99 ,12.01 ,2.09 ,828.55 ,39.26 ,2.11 ,0.08 ,200.00 ,256.77 ,볶음류
돼지갈비구이,29.07 ,72.70 ,59.37 ,11.37 ,1341.59 ,189.03 ,21.84 ,0.34 ,350.00 ,941.38 ,구이류
돼지고기볶음,18.21 ,22.96 ,20.67 ,8.20 ,1051.76 ,57.87 ,5.12 ,0.15 ,200.00 ,350.67 ,볶음류
동치미,2.78 ,0.49 ,0.24 ,0.60 ,555.93 ,0.00 ,0.01 ,0.00 ,100.00 ,15.21,김치류
콩조림,7.82 ,3.87 ,0.83 ,0.41 ,213.38 ,0.00 ,0.17 ,0.00 ,20.00 ,54.25,조림류
양파장아찌,7.63 ,1.11 ,0.49 ,5.55 ,703.00 ,0.00 ,0.01 ,0.00 ,100.00 ,39.4,장아찌/절임류
우엉조림,15.83 ,0.78 ,0.37 ,7.08 ,254.75 ,0.01 ,0.06 ,0.00 ,30.00 ,67.95,조림류
무말랭이무침,8.55 ,0.98 ,0.30 ,3.75 ,384.61 ,0.04 ,0.04 ,0.00 ,30.00 ,40.79,생채/무침류
깻잎장아찌,6.88 ,1.03 ,0.41 ,2.88 ,546.72 ,0.44 ,0.04 ,0.00 ,30.00 ,35.32 ,장아찌/절임류
동태전,10.54 ,22.64 ,15.04 ,0.22 ,702.16 ,178.76 ,3.16 ,0.09 ,150.00 ,268.05 ,전/적 및 부침류
새우초밥,78.42 ,16.80 ,0.75 ,11.65 ,1110.29 ,72.65 ,0.55 ,0.01 ,250.00 ,387.67 ,밥류
주꾸미볶음,22.82 ,18.33 ,5.20 ,5.06 ,918.86 ,200.76 ,0.61 ,0.02 ,200.00 ,211.41,볶음류
고사리나물,3.25 ,2.00 ,2.75 ,0.00 ,257.38 ,0.00 ,0.35 ,0.00 ,50.00 ,45.50 ,나물/숙채류
